"Category","Term","Genes","Count","List Total","Pop Hits","Pop Total","P-Value","Benjamini","Fold Enrichment","Bonferroni","FDR","Fisher Exact"
"GOTERM_BP_DIRECT","xenobiotic catabolic process","3.33%","3","84","30","19512","7.20e-3","7.19e-1","23.23","9.87e-1","7.19e-1","2.87e-4"
"UP_KW_PTM","Phosphoprotein","52.22%","47","63","8489","14452","8.20e-3","1.31e-1","1.27","1.16e-1","1.31e-1","6.35e-3"
"GOTERM_BP_DIRECT","hydroxylysine biosynthetic process","2.22%","2","84","2","19512","8.49e-3","7.26e-1","232.29","9.94e-1","7.26e-1","1.83e-5"
"GOTERM_MF_DIRECT","(R)-limonene 6-monooxygenase activity","2.22%","2","87","2","19272","8.91e-3","1.98e-1","221.52","8.27e-1","1.96e-1","2.01e-5"
"GOTERM_MF_DIRECT","(S)-limonene 6-monooxygenase activity","2.22%","2","87","2","19272","8.91e-3","1.98e-1","221.52","8.27e-1","1.96e-1","2.01e-5"
"GOTERM_MF_DIRECT","(S)-limonene 7-monooxygenase activity","2.22%","2","87","2","19272","8.91e-3","1.98e-1","221.52","8.27e-1","1.96e-1","2.01e-5"
"GOTERM_MF_DIRECT","monooxygenase activity","4.44%","4","87","96","19272","9.10e-3","1.98e-1","9.23","8.33e-1","1.96e-1","9.38e-4"
"UP_KW_MOLECULAR_FUNCTION","Monooxygenase","4.44%","4","58","92","12059","9.34e-3","1.82e-1","9.04","3.07e-1","1.82e-1","9.83e-4"
"GOTERM_MF_DIRECT","peptidase activity","8.89%","8","87","544","19272","1.08e-2","2.12e-1","3.26","8.82e-1","2.10e-1","3.17e-3"
"UP_SEQ_FEATURE","BINDING:axial binding residue","4.44%","4","85","114","20669","1.13e-2","1.00e+0","8.53","9.97e-1","1.00e+0","1.26e-3"
"UP_SEQ_FEATURE","DOMAIN:PLOD1-3-like GT","2.22%","2","85","3","20669","1.21e-2","1.00e+0","162.11","9.98e-1","1.00e+0","5.00e-5"
"INTERPRO","IPNS-like_FE2OG_OXY","2.22%","2","90","3","20827","1.28e-2","6.27e-1","154.27","9.94e-1","6.27e-1","5.52e-5"
"INTERPRO","GT_PLOD","2.22%","2","90","3","20827","1.28e-2","6.27e-1","154.27","9.94e-1","6.27e-1","5.52e-5"
"INTERPRO","Procol_lys_dOase","2.22%","2","90","3","20827","1.28e-2","6.27e-1","154.27","9.94e-1","6.27e-1","5.52e-5"
"GOTERM_MF_DIRECT","metalloendopeptidase activity","4.44%","4","87","109","19272","1.28e-2","2.18e-1","8.13","9.20e-1","2.15e-1","1.50e-3"
"KEGG_PATHWAY","Alanine, aspartate and glutamate metabolism","3.33%","3","46","37","9496","1.32e-2","8.83e-1","16.74","8.73e-1","8.83e-1","7.37e-4"
"UP_SEQ_FEATURE","MOTIF:Cysteine switch","3.33%","3","85","43","20669","1.32e-2","1.00e+0","16.96","9.99e-1","1.00e+0","7.36e-4"
"GOTERM_MF_DIRECT","procollagen-lysine 5-dioxygenase activity","2.22%","2","87","3","19272","1.33e-2","2.18e-1","147.68","9.28e-1","2.15e-1","6.03e-5"
"UP_SEQ_FEATURE","BINDING:in inhibited form","3.33%","3","85","44","20669","1.38e-2","1.00e+0","16.58","9.99e-1","1.00e+0","7.87e-4"
"GOTERM_MF_DIRECT","nucleotide binding","17.78%","16","87","1839","19272","1.55e-2","2.34e-1","1.93","9.53e-1","2.31e-1","7.68e-3"
"UP_KW_CELLULAR_COMPONENT","Microsome","4.44%","4","81","120","18195","1.59e-2","2.04e-1","7.49","3.82e-1","2.04e-1","2.02e-3"
"KEGG_PATHWAY","Serotonergic synapse","4.44%","4","46","115","9496","1.70e-2","8.83e-1","7.18","9.31e-1","8.83e-1","2.25e-3"
"GOTERM_CC_DIRECT","kinesin complex","3.33%","3","87","50","20808","1.82e-2","8.65e-1","14.35","9.59e-1","8.65e-1","1.20e-3"
"UP_KW_MOLECULAR_FUNCTION","Protease","8.89%","8","58","586","12059","1.98e-2","2.15e-1","2.84","5.42e-1","2.15e-1","6.64e-3"
"UP_KW_CELLULAR_COMPONENT","Nuclear pore complex","3.33%","3","81","50","18195","2.04e-2","2.04e-1","13.48","4.61e-1","2.04e-1","1.43e-3"
"COG_ONTOLOGY","Secondary metabolites biosynthesis, transport, and catabolism","4.44%","4","20","66","2025","2.21e-2","2.65e-1","6.14","2.52e-1","2.65e-1","3.37e-3"
"GOTERM_BP_DIRECT","proteolysis","8.89%","8","84","671","19512","2.41e-2","1.00e+0","2.77","1.00e+0","1.00e+0","8.24e-3"
"GOTERM_BP_DIRECT","extracellular matrix organization","4.44%","4","84","147","19512","2.48e-2","1.00e+0","6.32","1.00e+0","1.00e+0","3.74e-3"
"INTERPRO","Collagen_mod_GT25","2.22%","2","90","6","20827","2.54e-2","1.00e+0","77.14","1.00e+0","1.00e+0","2.74e-4"
"UP_KW_MOLECULAR_FUNCTION","Motor protein","4.44%","4","58","138","12059","2.74e-2","2.15e-1","6.03","6.61e-1","2.15e-1","4.32e-3"
"GOTERM_BP_DIRECT","lipid metabolic process","10.00%","9","84","847","19512","2.75e-2","1.00e+0","2.47","1.00e+0","1.00e+0","1.05e-2"
"UP_KW_MOLECULAR_FUNCTION","Oxidoreductase","8.89%","8","58","627","12059","2.75e-2","2.15e-1","2.65","6.63e-1","2.15e-1","9.83e-3"
"GOTERM_BP_DIRECT","peptidyl-lysine hydroxylation","2.22%","2","84","7","19512","2.94e-2","1.00e+0","66.37","1.00e+0","1.00e+0","3.79e-4"
"GOTERM_BP_DIRECT","monoterpenoid metabolic process","2.22%","2","84","7","19512","2.94e-2","1.00e+0","66.37","1.00e+0","1.00e+0","3.79e-4"
"GOTERM_MF_DIRECT","microtubule motor activity","3.33%","3","87","61","19272","3.04e-2","3.95e-1","10.89","9.98e-1","3.91e-1","2.65e-3"
"GOTERM_CC_DIRECT","cytoplasm","46.67%","42","87","7749","20808","3.04e-2","8.65e-1","1.30","9.95e-1","8.65e-1","2.27e-2"
"GOTERM_BP_DIRECT","collagen fibril organization","3.33%","3","84","65","19512","3.13e-2","1.00e+0","10.72","1.00e+0","1.00e+0","2.77e-3"
"UP_SEQ_FEATURE","ACT_SITE:Proton acceptor","10.00%","9","85","909","20669","3.13e-2","1.00e+0","2.41","1.00e+0","1.00e+0","1.23e-2"
"GOTERM_MF_DIRECT","heme binding","4.44%","4","87","154","19272","3.16e-2","3.95e-1","5.75","9.98e-1","3.91e-1","5.22e-3"
"GOTERM_MF_DIRECT","ligase activity","4.44%","4","87","160","19272","3.48e-2","3.95e-1","5.54","9.99e-1","3.91e-1","5.97e-3"
"GOTERM_MF_DIRECT","microtubule binding","5.56%","5","87","277","19272","3.55e-2","3.95e-1","4.00","9.99e-1","3.91e-1","8.39e-3"
"GOTERM_MF_DIRECT","metal ion binding","30.00%","27","87","4143","19272","3.63e-2","3.95e-1","1.44","9.99e-1","3.91e-1","2.41e-2"
"GOTERM_BP_DIRECT","cell division","6.67%","6","84","433","19512","3.73e-2","1.00e+0","3.22","1.00e+0","1.00e+0","1.10e-2"
"UP_SEQ_FEATURE","UNSURE:I or L","2.22%","2","85","10","20669","3.99e-2","1.00e+0","48.63","1.00e+0","1.00e+0","7.36e-4"
"UP_KW_MOLECULAR_FUNCTION","Ligase","4.44%","4","58","163","12059","4.17e-2","2.71e-1","5.10","8.10e-1","2.71e-1","7.75e-3"
"GOTERM_MF_DIRECT","ATP binding","14.44%","13","87","1549","19272","4.19e-2","4.33e-1","1.86","1.00e+0","4.28e-1","2.13e-2"
"GOTERM_CC_DIRECT","Golgi apparatus","13.33%","12","87","1492","20808","4.31e-2","8.65e-1","1.92","1.00e+0","8.65e-1","2.11e-2"
"KEGG_PATHWAY","Chemical carcinogenesis - DNA adducts","3.33%","3","46","71","9496","4.44e-2","1.00e+0","8.72","9.99e-1","1.00e+0","4.83e-3"
"GOTERM_CC_DIRECT","trans-Golgi network","4.44%","4","87","194","20808","4.65e-2","8.65e-1","4.93","1.00e+0","8.65e-1","8.94e-3"
"UP_KW_LIGAND","Heme","4.44%","4","42","142","7011","4.96e-2","3.52e-1","4.70","5.79e-1","3.52e-1","9.94e-3"
"UP_KW_CELLULAR_COMPONENT","Endoplasmic reticulum","13.33%","12","81","1439","18195","4.97e-2","3.73e-1","1.87","7.83e-1","3.73e-1","2.50e-2"
"GOTERM_BP_DIRECT","omega-hydroxylase P450 pathway","2.22%","2","84","12","19512","4.99e-2","1.00e+0","38.71","1.00e+0","1.00e+0","1.18e-3"
"INTERPRO","MetalloPept_cat_dom_sf","3.33%","3","90","84","20827","5.02e-2","1.00e+0","8.26","1.00e+0","1.00e+0","5.78e-3"
"GOTERM_BP_DIRECT","microtubule-based movement","3.33%","3","84","87","19512","5.30e-2","1.00e+0","8.01","1.00e+0","1.00e+0","6.29e-3"
"UP_SEQ_FEATURE","ACT_SITE:Charge relay system","4.44%","4","85","209","20669","5.35e-2","1.00e+0","4.65","1.00e+0","1.00e+0","1.09e-2"
"GOTERM_MF_DIRECT","serine-type endopeptidase activity","4.44%","4","87","192","19272","5.46e-2","5.35e-1","4.61","1.00e+0","5.30e-1","1.12e-2"
"UP_KW_LIGAND","Iron","6.67%","6","42","357","7011","5.55e-2","3.52e-1","2.81","6.21e-1","3.52e-1","1.86e-2"
"GOTERM_CC_DIRECT","cilium","7.78%","7","87","666","20808","5.76e-2","8.65e-1","2.51","1.00e+0","8.65e-1","2.15e-2"
"GOTERM_CC_DIRECT","endoplasmic reticulum","14.44%","13","87","1760","20808","5.78e-2","8.65e-1","1.77","1.00e+0","8.65e-1","3.08e-2"
"UP_KW_BIOLOGICAL_PROCESS","Mitosis","5.56%","5","59","294","11605","5.90e-2","1.00e+0","3.35","9.69e-1","1.00e+0","1.66e-2"
"UP_KW_BIOLOGICAL_PROCESS","Cell division","6.67%","6","59","422","11605","5.91e-2","1.00e+0","2.80","9.69e-1","1.00e+0","1.98e-2"
"INTERPRO","Pept_M10A_Zn_BS","2.22%","2","90","15","20827","6.22e-2","1.00e+0","30.85","1.00e+0","1.00e+0","1.87e-3"
"SMART","P4Hc","2.22%","2","42","17","10704","6.32e-2","1.00e+0","29.98","9.81e-1","1.00e+0","1.97e-3"
"GOTERM_CC_DIRECT","nuclear pore","3.33%","3","87","100","20808","6.44e-2","8.65e-1","7.18","1.00e+0","8.65e-1","8.53e-3"
"GOTERM_CC_DIRECT","centrosome","7.78%","7","87","688","20808","6.53e-2","8.65e-1","2.43","1.00e+0","8.65e-1","2.51e-2"
"GOTERM_BP_DIRECT","magnesium ion transport","2.22%","2","84","16","19512","6.60e-2","1.00e+0","29.04","1.00e+0","1.00e+0","2.11e-3"
"GOTERM_CC_DIRECT","endoplasmic reticulum membrane","11.11%","10","87","1228","20808","6.67e-2","8.65e-1","1.95","1.00e+0","8.65e-1","3.20e-2"
"GOTERM_CC_DIRECT","lateral element","2.22%","2","87","17","20808","6.80e-2","8.65e-1","28.14","1.00e+0","8.65e-1","2.26e-3"
"GOTERM_MF_DIRECT","endopeptidase activity","3.33%","3","87","96","19272","6.86e-2","6.15e-1","6.92","1.00e+0","6.09e-1","9.39e-3"
"GOTERM_MF_DIRECT","arachidonate epoxygenase activity","2.22%","2","87","16","19272","6.91e-2","6.15e-1","27.69","1.00e+0","6.09e-1","2.32e-3"
"GOTERM_BP_DIRECT","magnesium ion transmembrane transport","2.22%","2","84","17","19512","6.99e-2","1.00e+0","27.33","1.00e+0","1.00e+0","2.39e-3"
"GOTERM_BP_DIRECT","response to amyloid-beta","2.22%","2","84","17","19512","6.99e-2","1.00e+0","27.33","1.00e+0","1.00e+0","2.39e-3"
"GOTERM_CC_DIRECT","nuclear envelope","4.44%","4","87","230","20808","7.00e-2","8.65e-1","4.16","1.00e+0","8.65e-1","1.59e-2"
"INTERPRO","Hemopexin_CS","2.22%","2","90","17","20827","7.02e-2","1.00e+0","27.22","1.00e+0","1.00e+0","2.41e-3"
"INTERPRO","MARVEL-CKLF_proteins","2.22%","2","90","17","20827","7.02e-2","1.00e+0","27.22","1.00e+0","1.00e+0","2.41e-3"
"INTERPRO","Pro_4_hyd_alph","2.22%","2","90","17","20827","7.02e-2","1.00e+0","27.22","1.00e+0","1.00e+0","2.41e-3"
"INTERPRO","Peptidoglycan-bd-like","2.22%","2","90","18","20827","7.42e-2","1.00e+0","25.71","1.00e+0","1.00e+0","2.70e-3"
"UP_KW_BIOLOGICAL_PROCESS","Translocation","3.33%","3","59","90","11605","7.44e-2","1.00e+0","6.56","9.88e-1","1.00e+0","1.07e-2"
"UP_SEQ_FEATURE","REGION:RNA-binding","2.22%","2","85","19","20669","7.45e-2","1.00e+0","25.60","1.00e+0","1.00e+0","2.73e-3"
"GOTERM_CC_DIRECT","nucleolus","12.22%","11","87","1451","20808","7.58e-2","8.65e-1","1.81","1.00e+0","8.65e-1","3.91e-2"
"UP_KW_BIOLOGICAL_PROCESS","Wnt signaling pathway","4.44%","4","59","198","11605","7.63e-2","1.00e+0","3.97","9.89e-1","1.00e+0","1.80e-2"
"GOTERM_CC_DIRECT","chromosome","7.78%","7","87","720","20808","7.75e-2","8.65e-1","2.33","1.00e+0","8.65e-1","3.11e-2"
"GOTERM_CC_DIRECT","nuclear body","5.56%","5","87","389","20808","7.77e-2","8.65e-1","3.07","1.00e+0","8.65e-1","2.36e-2"
"GOTERM_BP_DIRECT","Wnt signaling pathway","4.44%","4","84","237","19512","8.03e-2","1.00e+0","3.92","1.00e+0","1.00e+0","1.92e-2"
"SMART","FCH","2.22%","2","42","22","10704","8.10e-2","1.00e+0","23.17","9.94e-1","1.00e+0","3.30e-3"
"GOTERM_MF_DIRECT","magnesium ion transmembrane transporter activity","2.22%","2","87","19","19272","8.15e-2","6.95e-1","23.32","1.00e+0","6.87e-1","3.28e-3"
"GOTERM_CC_DIRECT","spindle","4.44%","4","87","246","20808","8.19e-2","8.65e-1","3.89","1.00e+0","8.65e-1","1.98e-2"
"INTERPRO","PGBD-like_sf","2.22%","2","90","20","20827","8.21e-2","1.00e+0","23.14","1.00e+0","1.00e+0","3.34e-3"
"GOTERM_CC_DIRECT","cytoplasmic vesicle","8.89%","8","87","916","20808","8.45e-2","8.65e-1","2.09","1.00e+0","8.65e-1","3.76e-2"
"SMART","HX","2.22%","2","42","23","10704","8.46e-2","1.00e+0","22.16","9.95e-1","1.00e+0","3.61e-3"
"UP_SEQ_FEATURE","REPEAT:Hemopexin 3","2.22%","2","85","22","20669","8.57e-2","1.00e+0","22.11","1.00e+0","1.00e+0","3.66e-3"
"UP_SEQ_FEATURE","REPEAT:Hemopexin 4","2.22%","2","85","22","20669","8.57e-2","1.00e+0","22.11","1.00e+0","1.00e+0","3.66e-3"
"GOTERM_BP_DIRECT","cilium assembly","4.44%","4","84","244","19512","8.59e-2","1.00e+0","3.81","1.00e+0","1.00e+0","2.11e-2"
"UP_KW_LIGAND","Magnesium","10.00%","9","42","797","7011","8.70e-2","3.52e-1","1.89","7.87e-1","3.52e-1","4.31e-2"
"UP_SEQ_FEATURE","REPEAT:Hemopexin 1","2.22%","2","85","23","20669","8.95e-2","1.00e+0","21.14","1.00e+0","1.00e+0","4.00e-3"
"UP_SEQ_FEATURE","REPEAT:Hemopexin 2","2.22%","2","85","23","20669","8.95e-2","1.00e+0","21.14","1.00e+0","1.00e+0","4.00e-3"
"UP_SEQ_FEATURE","DOMAIN:Fe2OG dioxygenase","2.22%","2","85","23","20669","8.95e-2","1.00e+0","21.14","1.00e+0","1.00e+0","4.00e-3"
"GOTERM_MF_DIRECT","steroid hydroxylase activity","2.22%","2","87","21","19272","8.97e-2","7.32e-1","21.10","1.00e+0","7.25e-1","4.00e-3"
"INTERPRO","Oxoglu/Fe-dep_dioxygenase_dom","2.22%","2","90","22","20827","9.00e-2","1.00e+0","21.04","1.00e+0","1.00e+0","4.03e-3"
"KEGG_PATHWAY","Steroid biosynthesis","2.22%","2","46","20","9496","9.07e-2","1.00e+0","20.64","1.00e+0","1.00e+0","4.13e-3"
"GOTERM_MF_DIRECT","L-ascorbic acid binding","2.22%","2","87","22","19272","9.38e-2","7.35e-1","20.14","1.00e+0","7.28e-1","4.39e-3"
"INTERPRO","Hemopexin-like_repeat","2.22%","2","90","23","20827","9.38e-2","1.00e+0","20.12","1.00e+0","1.00e+0","4.40e-3"
"INTERPRO","Hemopexin-like_dom","2.22%","2","90","23","20827","9.38e-2","1.00e+0","20.12","1.00e+0","1.00e+0","4.40e-3"
"INTERPRO","Pept_M10_metallopeptidase","2.22%","2","90","23","20827","9.38e-2","1.00e+0","20.12","1.00e+0","1.00e+0","4.40e-3"
"INTERPRO","M10A_MMP","2.22%","2","90","23","20827","9.38e-2","1.00e+0","20.12","1.00e+0","1.00e+0","4.40e-3"
"INTERPRO","Pept_M10A","2.22%","2","90","23","20827","9.38e-2","1.00e+0","20.12","1.00e+0","1.00e+0","4.40e-3"
"INTERPRO","FCH_dom","2.22%","2","90","23","20827","9.38e-2","1.00e+0","20.12","1.00e+0","1.00e+0","4.40e-3"
"UP_KW_DISEASE","Meckel syndrome","2.22%","2","31","16","4888","9.39e-2","8.82e-1","19.71","8.61e-1","8.82e-1","4.42e-3"
"UP_SEQ_FEATURE","DOMAIN:F-BAR","2.22%","2","85","25","20669","9.69e-2","1.00e+0","19.45","1.00e+0","1.00e+0","4.72e-3"
"INTERPRO","Hemopexin-like_dom_sf","2.22%","2","90","24","20827","9.77e-2","1.00e+0","19.28","1.00e+0","1.00e+0","4.79e-3"
"GOTERM_MF_DIRECT","RNA binding","13.33%","12","87","1600","19272","9.89e-2","7.45e-1","1.66","1.00e+0","7.38e-1","5.54e-2"

