"Category","Term","Genes","Count","List Total","Pop Hits","Pop Total","P-Value","Benjamini","Fold Enrichment","Bonferroni","FDR","Fisher Exact"
"GOTERM_BP_DIRECT","organic acid metabolic process","5.56%","5","84","12","19512","1.47e-7","8.79e-5","96.79","8.79e-5","8.79e-5","1.01e-9"
"GOTERM_MF_DIRECT","oxidoreductase activity, acting on paired donors, with incorporation or reduction of molecular oxygen","6.67%","6","87","82","19272","3.28e-5","6.42e-3","16.21","6.40e-3","6.36e-3","1.89e-6"
"INTERPRO","Cytochrome_P450_fam2","4.44%","4","90","22","20827","1.10e-4","4.30e-2","42.07","4.21e-2","4.30e-2","2.25e-6"
"GOTERM_BP_DIRECT","terpenoid metabolic process","3.33%","3","84","5","19512","1.77e-4","5.31e-2","139.37","1.01e-1","5.31e-2","7.65e-7"
"GOTERM_MF_DIRECT","iron ion binding","6.67%","6","87","148","19272","5.27e-4","4.96e-2","8.98","9.82e-2","4.91e-2","5.61e-5"
"UP_KW_MOLECULAR_FUNCTION","Metalloprotease","6.67%","6","58","156","12059","8.27e-4","3.23e-2","8.00","3.18e-2","3.23e-2","9.89e-5"
"GOTERM_MF_DIRECT","oxidoreductase activity, acting on paired donors, with incorporation or reduction of molecular oxygen, reduced flavin or flavoprotein as one donor, and incorporation of one atom of oxygen","4.44%","4","87","42","19272","8.69e-4","4.96e-2","21.10","1.57e-1","4.91e-2","3.80e-5"
"GOTERM_MF_DIRECT","metallopeptidase activity","6.67%","6","87","171","19272","1.01e-3","4.96e-2","7.77","1.80e-1","4.91e-2","1.25e-4"
"INTERPRO","Cyt_P450_E_grp-I","4.44%","4","90","51","20827","1.35e-3","2.23e-1","18.15","4.13e-1","2.23e-1","6.98e-5"
"GOTERM_BP_DIRECT","xenobiotic metabolic process","5.56%","5","84","124","19512","1.94e-3","3.87e-1","9.37","6.87e-1","3.87e-1","1.98e-4"
"INTERPRO","Cyt_P450_CS","4.44%","4","90","59","20827","2.06e-3","2.23e-1","15.69","5.56e-1","2.23e-1","1.24e-4"
"UP_KW_CELLULAR_COMPONENT","Microtubule","7.78%","7","81","302","18195","2.14e-3","6.41e-2","5.21","6.22e-2","6.41e-2","3.94e-4"
"GOTERM_BP_DIRECT","monocarboxylic acid metabolic process","3.33%","3","84","18","19512","2.62e-3","3.87e-1","38.71","7.92e-1","3.87e-1","5.99e-5"
"INTERPRO","Cyt_P450","4.44%","4","90","66","20827","2.84e-3","2.23e-1","14.02","6.73e-1","2.23e-1","1.92e-4"
"INTERPRO","Cyt_P450_sf","4.44%","4","90","66","20827","2.84e-3","2.23e-1","14.02","6.73e-1","2.23e-1","1.92e-4"
"GOTERM_BP_DIRECT","epoxygenase P450 pathway","3.33%","3","84","20","19512","3.23e-3","3.87e-1","34.84","8.56e-1","3.87e-1","8.32e-5"
"KEGG_PATHWAY","Metabolic pathways","17.78%","16","46","1583","9496","4.73e-3","7.37e-1","2.09","5.22e-1","7.37e-1","2.19e-3"
"GOTERM_CC_DIRECT","microtubule","7.78%","7","87","377","20808","4.73e-3","8.24e-1","4.44","5.62e-1","8.24e-1","1.02e-3"
"GOTERM_MF_DIRECT","oxidoreductase activity","10.00%","9","87","625","19272","6.75e-3","1.98e-1","3.19","7.35e-1","1.96e-1","2.02e-3"
