"Category","Term","Genes","Count","List Total","Pop Hits","Pop Total","P-Value","Benjamini","Fold Enrichment","Bonferroni","FDR","Fisher Exact"
"GOTERM_MF_DIRECT","glycosylceramide flippase activity","3.26%","3","85","3","19272","5.62e-5","1.43e-2","226.73","1.42e-2","1.43e-2","8.28e-8"
"UP_SEQ_FEATURE","TOPO_DOM:Cytoplasmic","36.96%","34","91","3928","20669","6.35e-5","3.15e-2","1.97","3.11e-2","3.15e-2","3.16e-5"
"UP_KW_DOMAIN","Transmembrane helix","47.83%","44","70","5895","14656","1.68e-4","1.88e-3","1.56","2.68e-3","1.88e-3","1.06e-4"
"UP_KW_DOMAIN","Transmembrane","47.83%","44","70","5971","14656","2.35e-4","1.88e-3","1.54","3.76e-3","1.88e-3","1.50e-4"
"GOTERM_BP_DIRECT","lipid transport","7.61%","7","89","193","19512","2.40e-4","1.74e-1","7.95","1.59e-1","1.74e-1","2.89e-5"
"GOTERM_MF_DIRECT","transmembrane transporter activity","7.61%","7","85","231","19272","5.18e-4","6.61e-2","6.87","1.24e-1","6.61e-2","7.25e-5"
"GOTERM_CC_DIRECT","membrane","59.78%","55","90","9038","20808","7.74e-4","1.28e-1","1.41","1.21e-1","1.27e-1","5.41e-4"
"UP_SEQ_FEATURE","TOPO_DOM:Exoplasmic loop","3.26%","3","91","10","20669","8.25e-4","1.91e-1","68.14","3.36e-1","1.91e-1","9.69e-6"
"GOTERM_BP_DIRECT","transmembrane transport","10.87%","10","89","569","19512","1.06e-3","3.20e-1","3.85","5.35e-1","3.20e-1","2.64e-4"
"GOTERM_BP_DIRECT","phospholipid transport","4.35%","4","89","48","19512","1.32e-3","3.20e-1","18.27","6.17e-1","3.20e-1","6.75e-5"
"UP_SEQ_FEATURE","DOMAIN:P-type ATPase N-terminal","3.26%","3","91","13","20669","1.42e-3","1.91e-1","52.42","5.06e-1","1.91e-1","2.29e-5"
"UP_SEQ_FEATURE","TRANSMEM:Helical","41.30%","38","91","5434","20669","1.54e-3","1.91e-1","1.59","5.35e-1","1.91e-1","9.46e-4"
"GOTERM_CC_DIRECT","phospholipid-translocating ATPase complex","3.26%","3","90","14","20808","1.59e-3","1.32e-1","49.54","2.32e-1","1.31e-1","2.75e-5"
"INTERPRO","P-type_ATPase_N","3.26%","3","92","14","20827","1.66e-3","1.69e-1","48.51","4.44e-1","1.69e-1","2.93e-5"
"INTERPRO","P_typ_ATPase_c","3.26%","3","92","14","20827","1.66e-3","1.69e-1","48.51","4.44e-1","1.69e-1","2.93e-5"
"INTERPRO","P-type_ATPase_IV","3.26%","3","92","14","20827","1.66e-3","1.69e-1","48.51","4.44e-1","1.69e-1","2.93e-5"
"INTERPRO","ZIP","3.26%","3","92","15","20827","1.91e-3","1.69e-1","45.28","4.91e-1","1.69e-1","3.65e-5"
"UP_SEQ_FEATURE","TOPO_DOM:Extracellular","27.17%","25","91","3012","20669","1.95e-3","1.94e-1","1.89","6.22e-1","1.94e-1","1.01e-3"
"GOTERM_MF_DIRECT","ATPase-coupled intramembrane lipid transporter activity","3.26%","3","85","21","19272","3.74e-3","2.59e-1","32.39","6.15e-1","2.59e-1","1.04e-4"
"UP_KW_BIOLOGICAL_PROCESS","Lipid transport","6.52%","6","69","177","11605","3.74e-3","1.84e-1","5.70","2.13e-1","1.84e-1","6.26e-4"
"GOTERM_MF_DIRECT","magnesium ion binding","6.52%","6","85","241","19272","4.06e-3","2.59e-1","5.64","6.46e-1","2.59e-1","6.89e-4"
"UP_KW_CELLULAR_COMPONENT","Membrane","56.52%","52","85","8428","18195","5.52e-3","9.87e-2","1.32","1.44e-1","9.52e-2","4.10e-3"
"GOTERM_MF_DIRECT","zinc ion transmembrane transporter activity","3.26%","3","85","26","19272","5.70e-3","2.61e-1","26.16","7.67e-1","2.61e-1","2.00e-4"
"GOTERM_BP_DIRECT","zinc ion transport","3.26%","3","89","26","19512","6.09e-3","9.12e-1","25.30","9.88e-1","9.12e-1","2.21e-4"
"GOTERM_MF_DIRECT","metal ion transmembrane transporter activity","3.26%","3","85","27","19272","6.14e-3","2.61e-1","25.19","7.92e-1","2.61e-1","2.24e-4"
"GOTERM_BP_DIRECT","phospholipid translocation","3.26%","3","89","27","19512","6.56e-3","9.12e-1","24.36","9.92e-1","9.12e-1","2.48e-4"
"UP_KW_CELLULAR_COMPONENT","Golgi apparatus","13.04%","12","85","1019","18195","7.05e-3","9.87e-2","2.52","1.80e-1","9.52e-2","2.68e-3"
"GOTERM_CC_DIRECT","endoplasmic reticulum","17.39%","16","90","1760","20808","7.44e-3","3.17e-1","2.10","7.11e-1","3.13e-1","3.40e-3"
