"Category","Term","Genes","Count","List Total","Pop Hits","Pop Total","P-Value","Benjamini","Fold Enrichment","Bonferroni","FDR","Fisher Exact"
"GOTERM_BP_DIRECT","zinc ion transmembrane transport","3.26%","3","89","29","19512","7.54e-3","9.12e-1","22.68","9.96e-1","9.12e-1","3.08e-4"
"GOTERM_CC_DIRECT","endosome","10.87%","10","90","808","20808","7.64e-3","3.17e-1","2.86","7.20e-1","3.13e-1","2.56e-3"
"UP_SEQ_FEATURE","REPEAT:LRR 11","4.35%","4","91","93","20669","7.81e-3","6.47e-1","9.77","9.80e-1","6.46e-1","7.61e-4"
"UP_KW_BIOLOGICAL_PROCESS","Zinc transport","3.26%","3","69","24","11605","8.59e-3","1.84e-1","21.02","4.24e-1","1.84e-1","3.72e-4"
"UP_KW_BIOLOGICAL_PROCESS","Transport","23.91%","22","69","2133","11605","8.64e-3","1.84e-1","1.73","4.26e-1","1.84e-1","4.80e-3"
"INTERPRO","Sugar_transporter_CS","3.26%","3","92","33","20827","9.13e-3","3.53e-1","20.58","9.61e-1","3.53e-1","4.13e-4"
"INTERPRO","MFS_dom","4.35%","4","92","99","20827","9.36e-3","3.53e-1","9.15","9.64e-1","3.53e-1","9.74e-4"
"GOTERM_BP_DIRECT","metal ion transport","3.26%","3","89","34","19512","1.03e-2","9.85e-1","19.34","9.99e-1","9.85e-1","4.96e-4"
"GOTERM_BP_DIRECT","intracellular zinc ion homeostasis","3.26%","3","89","35","19512","1.09e-2","9.85e-1","18.79","1.00e+0","9.85e-1","5.40e-4"
"INTERPRO","P_typ_ATPase","3.26%","3","92","37","20827","1.14e-2","3.53e-1","18.36","9.82e-1","3.53e-1","5.81e-4"
"INTERPRO","ATPase_P-typ_cyto_dom_N","3.26%","3","92","37","20827","1.14e-2","3.53e-1","18.36","9.82e-1","3.53e-1","5.81e-4"
"INTERPRO","ATPase_P-typ_P_site","3.26%","3","92","37","20827","1.14e-2","3.53e-1","18.36","9.82e-1","3.53e-1","5.81e-4"
"INTERPRO","ATPase_P-typ_transduc_dom_A_sf","3.26%","3","92","37","20827","1.14e-2","3.53e-1","18.36","9.82e-1","3.53e-1","5.81e-4"
"INTERPRO","P_typ_ATPase_HD_dom","3.26%","3","92","37","20827","1.14e-2","3.53e-1","18.36","9.82e-1","3.53e-1","5.81e-4"
"INTERPRO","ATPase_P-typ_TM_dom_sf","3.26%","3","92","38","20827","1.20e-2","3.53e-1","17.87","9.86e-1","3.53e-1","6.29e-4"
"UP_SEQ_FEATURE","REPEAT:LRR 10","4.35%","4","91","109","20669","1.20e-2","8.16e-1","8.34","9.98e-1","8.14e-1","1.38e-3"
"UP_SEQ_FEATURE","ACT_SITE:4-aspartylphosphate intermediate","3.26%","3","91","40","20669","1.31e-2","8.16e-1","17.03","9.99e-1","8.14e-1","7.25e-4"
"INTERPRO","MFS_sugar_transport-like","3.26%","3","92","40","20827","1.32e-2","3.59e-1","16.98","9.91e-1","3.59e-1","7.32e-4"
"GOTERM_BP_DIRECT","negative regulation of transcription regulatory region DNA binding","2.17%","2","89","3","19512","1.35e-2","1.00e+0","146.16","1.00e+0","1.00e+0","6.15e-5"
"GOTERM_CC_DIRECT","Golgi membrane","9.78%","9","90","736","20808","1.35e-2","4.19e-1","2.83","8.95e-1","4.14e-1","4.54e-3"
"SMART","Solute_trans_a","2.17%","2","39","4","10704","1.41e-2","5.58e-1","137.23","4.95e-1","5.58e-1","7.73e-5"
"UP_KW_CELLULAR_COMPONENT","Endoplasmic reticulum","15.22%","14","85","1439","18195","1.44e-2","1.15e-1","2.08","3.33e-1","1.11e-1","6.58e-3"
"KEGG_PATHWAY","Ferroptosis","3.26%","3","44","42","9496","1.54e-2","1.00e+0","15.42","8.56e-1","1.00e+0","9.39e-4"
"GOTERM_CC_DIRECT","cytoplasmic vesicle","10.87%","10","90","916","20808","1.64e-2","4.19e-1","2.52","9.35e-1","4.14e-1","6.17e-3"
"UP_KW_CELLULAR_COMPONENT","Endosome","9.78%","9","85","708","18195","1.64e-2","1.15e-1","2.72","3.71e-1","1.11e-1","5.73e-3"
"UP_SEQ_FEATURE","MOTIF:XEXPHE-motif","2.17%","2","91","4","20669","1.73e-2","9.56e-1","113.57","1.00e+0","9.54e-1","1.14e-4"
"INTERPRO","Ostalpha/TMEM184C","2.17%","2","92","4","20827","1.74e-2","4.38e-1","113.19","9.98e-1","4.38e-1","1.15e-4"
"GOTERM_CC_DIRECT","plasma membrane","39.13%","36","90","5927","20808","1.77e-2","4.19e-1","1.40","9.48e-1","4.14e-1","1.22e-2"
"GOTERM_MF_DIRECT","phosphatidylcholine flippase activity","2.17%","2","85","5","19272","2.16e-2","7.87e-1","90.69","9.96e-1","7.87e-1","1.91e-4"
"UP_KW_CELLULAR_COMPONENT","Cytoplasmic vesicle","9.78%","9","85","766","18195","2.49e-2","1.40e-1","2.52","5.07e-1","1.35e-1","9.40e-3"
"SMART","LRR_TYP","4.35%","4","39","182","10704","2.64e-2","5.58e-1","6.03","7.23e-1","5.58e-1","4.18e-3"
"GOTERM_BP_DIRECT","regulation of B cell activation","2.17%","2","89","6","19512","2.68e-2","1.00e+0","73.08","1.00e+0","1.00e+0","3.05e-4"
"GOTERM_CC_DIRECT","transport vesicle membrane","3.26%","3","90","60","20808","2.73e-2","5.66e-1","11.56","9.90e-1","5.59e-1","2.24e-3"
"UP_SEQ_FEATURE","REPEAT:LRR 4","5.43%","5","91","264","20669","2.83e-2","1.00e+0","4.30","1.00e+0","1.00e+0","6.24e-3"
"INTERPRO","Leu-rich_rpt","5.43%","5","92","268","20827","3.00e-2","6.27e-1","4.22","1.00e+0","6.27e-1","6.73e-3"
"GOTERM_MF_DIRECT","monoatomic cation:bicarbonate symporter activity","2.17%","2","85","7","19272","3.01e-2","9.60e-1","64.78","1.00e+0","9.60e-1","3.98e-4"
"INTERPRO","FAD/NAD-bd_sf","3.26%","3","92","62","20827","3.01e-2","6.27e-1","10.95","1.00e+0","6.27e-1","2.61e-3"
"INTERPRO","ZIP_Transporter","2.17%","2","92","7","20827","3.02e-2","6.27e-1","64.68","1.00e+0","6.27e-1","4.00e-4"
"GOTERM_CC_DIRECT","apical plasma membrane","6.52%","6","90","411","20808","3.16e-2","5.83e-1","3.38","9.95e-1","5.76e-1","8.86e-3"
"GOTERM_BP_DIRECT","monoatomic ion transport","8.70%","8","89","672","19512","3.21e-2","1.00e+0","2.61","1.00e+0","1.00e+0","1.16e-2"
"UP_SEQ_FEATURE","REPEAT:LRR 9","4.35%","4","91","159","20669","3.23e-2","1.00e+0","5.71","1.00e+0","1.00e+0","5.37e-3"
"UP_SEQ_FEATURE","REPEAT:LRR 3","5.43%","5","91","277","20669","3.29e-2","1.00e+0","4.10","1.00e+0","1.00e+0","7.60e-3"
"SMART","LRRCT","3.26%","3","39","83","10704","3.49e-2","5.58e-1","9.92","8.18e-1","5.58e-1","3.36e-3"
"UP_SEQ_FEATURE","REPEAT:LRR 2","5.43%","5","91","286","20669","3.64e-2","1.00e+0","3.97","1.00e+0","1.00e+0","8.66e-3"
"GOTERM_CC_DIRECT","endoplasmic reticulum membrane","11.96%","11","90","1228","20808","3.67e-2","6.09e-1","2.07","9.98e-1","6.02e-1","1.67e-2"
"UP_SEQ_FEATURE","REPEAT:LRR 1","5.43%","5","91","289","20669","3.75e-2","1.00e+0","3.93","1.00e+0","1.00e+0","9.04e-3"
"UP_SEQ_FEATURE","REPEAT:LRR 8","4.35%","4","91","175","20669","4.10e-2","1.00e+0","5.19","1.00e+0","1.00e+0","7.49e-3"
"GOTERM_BP_DIRECT","zinc ion import across plasma membrane","2.17%","2","89","10","19512","4.42e-2","1.00e+0","43.85","1.00e+0","1.00e+0","9.04e-4"
"INTERPRO","Leu-rich_rpt_typical-subtyp","4.35%","4","92","182","20827","4.56e-2","8.21e-1","4.98","1.00e+0","8.21e-1","8.68e-3"
"UP_SEQ_FEATURE","DOMAIN:P-type ATPase C-terminal","2.17%","2","91","11","20669","4.69e-2","1.00e+0","41.30","1.00e+0","1.00e+0","1.03e-3"
"INTERPRO","NST/OST","2.17%","2","92","11","20827","4.70e-2","8.21e-1","41.16","1.00e+0","8.21e-1","1.03e-3"
"INTERPRO","HAD_sf","3.26%","3","92","80","20827","4.79e-2","8.21e-1","8.49","1.00e+0","8.21e-1","5.36e-3"
"INTERPRO","HAD-like_sf","3.26%","3","92","82","20827","5.01e-2","8.21e-1","8.28","1.00e+0","8.21e-1","5.74e-3"
"INTERPRO","Cys-rich_flank_reg_C","3.26%","3","92","83","20827","5.12e-2","8.21e-1","8.18","1.00e+0","8.21e-1","5.94e-3"
"GOTERM_CC_DIRECT","Golgi apparatus","13.04%","12","90","1492","20808","5.31e-2","8.01e-1","1.86","1.00e+0","7.92e-1","2.69e-2"
"GOTERM_BP_DIRECT","angiotensin maturation","2.17%","2","89","13","19512","5.71e-2","1.00e+0","33.73","1.00e+0","1.00e+0","1.55e-3"
"UP_SEQ_FEATURE","CARBOHYD:N-linked (GlcNAc...) asparagine","29.35%","27","91","4425","20669","5.79e-2","1.00e+0","1.39","1.00e+0","1.00e+0","3.98e-2"
"UP_SEQ_FEATURE","COMPBIAS:Low complexity","33.70%","31","91","5262","20669","5.80e-2","1.00e+0","1.34","1.00e+0","1.00e+0","4.15e-2"
"UP_SEQ_FEATURE","TRANSMEM:Helical; Name=7","9.78%","9","91","968","20669","6.00e-2","1.00e+0","2.11","1.00e+0","1.00e+0","2.66e-2"
"UP_SEQ_FEATURE","REPEAT:LRR 7","4.35%","4","91","206","20669","6.11e-2","1.00e+0","4.41","1.00e+0","1.00e+0","1.31e-2"
"KEGG_PATHWAY","GABAergic synapse","3.26%","3","44","89","9496","6.12e-2","1.00e+0","7.27","1.00e+0","1.00e+0","7.99e-3"
"INTERPRO","LRR_dom_sf","5.43%","5","92","340","20827","6.19e-2","9.50e-1","3.33","1.00e+0","9.50e-1","1.75e-2"
"UP_KW_DOMAIN","Leucine-rich repeat","5.43%","5","70","321","14656","6.45e-2","3.44e-1","3.26","6.56e-1","3.44e-1","1.86e-2"
"SMART","IGc2","4.35%","4","39","262","10704","6.53e-2","7.84e-1","4.19","9.61e-1","7.84e-1","1.47e-2"
"GOTERM_BP_DIRECT","detection of visible light","2.17%","2","89","15","19512","6.56e-2","1.00e+0","29.23","1.00e+0","1.00e+0","2.08e-3"
"COG_ONTOLOGY","RNA processing and modification","2.17%","2","7","23","2025","6.63e-2","3.32e-1","25.16","3.38e-1","3.32e-1","2.50e-3"
"GOTERM_CC_DIRECT","early endosome membrane","4.35%","4","90","220","20808","6.84e-2","9.46e-1","4.20","1.00e+0","9.35e-1","1.53e-2"
"GOTERM_BP_DIRECT","nervous system development","7.61%","7","89","649","19512","7.29e-2","1.00e+0","2.36","1.00e+0","1.00e+0","2.88e-2"
"GOTERM_BP_DIRECT","artery development","2.17%","2","89","17","19512","7.40e-2","1.00e+0","25.79","1.00e+0","1.00e+0","2.68e-3"
"GOTERM_BP_DIRECT","peptide catabolic process","2.17%","2","89","17","19512","7.40e-2","1.00e+0","25.79","1.00e+0","1.00e+0","2.68e-3"
"UP_SEQ_FEATURE","COMPBIAS:Pro residues","16.30%","15","91","2119","20669","7.42e-2","1.00e+0","1.61","1.00e+0","1.00e+0","4.33e-2"
"GOTERM_CC_DIRECT","lysosome","6.52%","6","90","532","20808","7.79e-2","9.95e-1","2.61","1.00e+0","9.83e-1","2.79e-2"
"KEGG_PATHWAY","Chagas disease","3.26%","3","44","103","9496","7.90e-2","1.00e+0","6.29","1.00e+0","1.00e+0","1.19e-2"
"UP_SEQ_FEATURE","REPEAT:LRR 6","4.35%","4","91","231","20669","7.99e-2","1.00e+0","3.93","1.00e+0","1.00e+0","1.91e-2"
"UP_KW_BIOLOGICAL_PROCESS","Ion transport","8.70%","8","69","647","11605","8.35e-2","1.00e+0","2.08","9.96e-1","1.00e+0","3.74e-2"
"UP_SEQ_FEATURE","TRANSMEM:Helical; Name=6","9.78%","9","91","1046","20669","8.53e-2","1.00e+0","1.95","1.00e+0","1.00e+0","4.06e-2"
"UP_KW_MOLECULAR_FUNCTION","Translocase","3.26%","3","56","107","12059","8.55e-2","1.00e+0","6.04","9.69e-1","1.00e+0","1.34e-2"
"UP_SEQ_FEATURE","TRANSMEM:Helical; Name=5","9.78%","9","91","1056","20669","8.89e-2","1.00e+0","1.94","1.00e+0","1.00e+0","4.27e-2"
"GOTERM_BP_DIRECT","lymph node development","2.17%","2","89","21","19512","9.06e-2","1.00e+0","20.88","1.00e+0","1.00e+0","4.08e-3"
"GOTERM_CC_DIRECT","vacuole","2.17%","2","90","23","20808","9.39e-2","1.00e+0","20.10","1.00e+0","9.94e-1","4.41e-3"
"GOTERM_BP_DIRECT","sterol metabolic process","2.17%","2","89","22","19512","9.47e-2","1.00e+0","19.93","1.00e+0","1.00e+0","4.48e-3"
"UP_SEQ_FEATURE","TRANSMEM:Helical; Name=8","3.26%","3","91","119","20669","9.50e-2","1.00e+0","5.73","1.00e+0","1.00e+0","1.57e-2"
"GOTERM_MF_DIRECT","C-C chemokine binding","2.17%","2","85","23","19272","9.56e-2","1.00e+0","19.72","1.00e+0","1.00e+0","4.58e-3"
"GOTERM_MF_DIRECT","C-C chemokine receptor activity","2.17%","2","85","23","19272","9.56e-2","1.00e+0","19.72","1.00e+0","1.00e+0","4.58e-3"
"GOTERM_CC_DIRECT","perinuclear region of cytoplasm","7.61%","7","90","737","20808","9.59e-2","1.00e+0","2.20","1.00e+0","9.94e-1","4.05e-2"
"GOTERM_BP_DIRECT","intracellular monoatomic cation homeostasis","2.17%","2","89","23","19512","9.88e-2","1.00e+0","19.06","1.00e+0","1.00e+0","4.89e-3"
"UP_SEQ_FEATURE","TRANSMEM:Helical; Name=3","9.78%","9","91","1082","20669","9.89e-2","1.00e+0","1.89","1.00e+0","1.00e+0","4.85e-2"
"KEGG_PATHWAY","Renin-angiotensin system","2.17%","2","44","23","9496","9.92e-2","1.00e+0","18.77","1.00e+0","1.00e+0","4.99e-3"
"GOTERM_BP_DIRECT","male gonad development","3.26%","3","89","118","19512","9.93e-2","1.00e+0","5.57","1.00e+0","1.00e+0","1.68e-2"
"KEGG_PATHWAY","Alzheimer disease","5.43%","5","44","391","9496","9.94e-2","1.00e+0","2.76","1.00e+0","1.00e+0","3.36e-2"
"UP_SEQ_FEATURE","TRANSMEM:Helical; Name=4","9.78%","9","91","1084","20669","9.96e-2","1.00e+0","1.89","1.00e+0","1.00e+0","4.90e-2"

