"Category","Term","Genes","Count","List Total","Pop Hits","Pop Total","P-Value","Benjamini","Fold Enrichment","Bonferroni","FDR","Fisher Exact"
"INTERPRO","Znf_LIM","3.33%","3","90","76","20827","4.20e-2","8.37e-1","9.13","1.00e+0","8.28e-1","4.37e-3"
"UP_SEQ_FEATURE","SITE:Arginine finger; crucial for GTP hydrolysis by stabilizing the transition state","3.33%","3","86","80","20669","4.30e-2","1.00e+0","9.01","1.00e+0","1.00e+0","4.54e-3"
"GOTERM_CC_DIRECT","extracellular space","15.56%","14","86","1895","20808","4.35e-2","7.73e-1","1.79","9.99e-1","7.58e-1","2.30e-2"
"GOTERM_BP_DIRECT","negative regulation of vasoconstriction","2.22%","2","88","10","19512","4.37e-2","1.00e+0","44.35","1.00e+0","1.00e+0","8.84e-4"
"UP_SEQ_FEATURE","DOMAIN:Thrombospondin-like N-terminal","2.22%","2","86","11","20669","4.43e-2","1.00e+0","43.70","1.00e+0","1.00e+0","9.18e-4"
"SMART","RhoGAP","3.33%","3","52","71","10704","4.49e-2","8.26e-1","8.70","9.60e-1","8.26e-1","4.90e-3"
"SMART","LIM","3.33%","3","52","73","10704","4.72e-2","8.26e-1","8.46","9.66e-1","8.26e-1","5.29e-3"
"UP_KW_DOMAIN","LIM domain","3.33%","3","69","75","14656","4.74e-2","2.37e-1","8.50","6.21e-1","2.37e-1","5.29e-3"
"UP_SEQ_FEATURE","COMPBIAS:Basic and acidic residues","40.00%","36","86","6644","20669","4.95e-2","1.00e+0","1.30","1.00e+0","1.00e+0","3.66e-2"
"GOTERM_MF_DIRECT","identical protein binding","15.56%","14","85","1824","19272","5.18e-2","1.00e+0","1.74","1.00e+0","1.00e+0","2.81e-2"
"GOTERM_BP_DIRECT","female pregnancy","3.33%","3","88","82","19512","5.19e-2","1.00e+0","8.11","1.00e+0","1.00e+0","6.07e-3"
"GOTERM_MF_DIRECT","SUMO ligase activity","2.22%","2","85","13","19272","5.52e-2","1.00e+0","34.88","1.00e+0","1.00e+0","1.45e-3"
"GOTERM_BP_DIRECT","signal transduction","17.78%","16","88","2168","19512","5.55e-2","1.00e+0","1.64","1.00e+0","1.00e+0","3.20e-2"
"UP_SEQ_FEATURE","LIPID:GPI-anchor amidated alanine","2.22%","2","86","14","20669","5.61e-2","1.00e+0","34.33","1.00e+0","1.00e+0","1.51e-3"
"UP_SEQ_FEATURE","ZN_FING:C3H1-type 4","2.22%","2","86","15","20669","6.00e-2","1.00e+0","32.04","1.00e+0","1.00e+0","1.73e-3"
"GOTERM_BP_DIRECT","plasma membrane tubulation","2.22%","2","88","14","19512","6.07e-2","1.00e+0","31.68","1.00e+0","1.00e+0","1.77e-3"
"GOTERM_BP_DIRECT","nucleotide-binding oligomerization domain containing 2 signaling pathway","2.22%","2","88","14","19512","6.07e-2","1.00e+0","31.68","1.00e+0","1.00e+0","1.77e-3"
"UP_SEQ_FEATURE","DOMAIN:Ig-like C2-type 1","4.44%","4","86","219","20669","6.16e-2","1.00e+0","4.39","1.00e+0","1.00e+0","1.32e-2"
"UP_SEQ_FEATURE","DOMAIN:Ig-like C2-type 2","4.44%","4","86","219","20669","6.16e-2","1.00e+0","4.39","1.00e+0","1.00e+0","1.32e-2"
"GOTERM_MF_DIRECT","protein kinase binding","6.67%","6","85","491","19272","6.33e-2","1.00e+0","2.77","1.00e+0","1.00e+0","2.14e-2"
"UP_SEQ_FEATURE","MOTIF:Nuclear export signal","3.33%","3","86","100","20669","6.39e-2","1.00e+0","7.21","1.00e+0","1.00e+0","8.41e-3"
"INTERPRO","Rho_GTPase_activation_prot","3.33%","3","90","97","20827","6.48e-2","1.00e+0","7.16","1.00e+0","9.92e-1","8.59e-3"
"INTERPRO","SH3-like_dom_sf","4.44%","4","90","220","20827","6.83e-2","1.00e+0","4.21","1.00e+0","9.92e-1","1.53e-2"
"SMART","EGF","4.44%","4","52","200","10704","6.97e-2","8.91e-1","4.12","9.94e-1","8.91e-1","1.59e-2"
"INTERPRO","EGF_dom","2.22%","2","90","17","20827","7.02e-2","1.00e+0","27.22","1.00e+0","9.92e-1","2.41e-3"
"UP_SEQ_FEATURE","TOPO_DOM:Cytoplasmic","25.56%","23","86","3928","20669","7.31e-2","1.00e+0","1.41","1.00e+0","1.00e+0","4.92e-2"
"GOTERM_BP_DIRECT","intracellular signal transduction","6.67%","6","88","501","19512","7.32e-2","1.00e+0","2.66","1.00e+0","1.00e+0","2.57e-2"
"UP_SEQ_FEATURE","COMPBIAS:Low complexity","32.22%","29","86","5262","20669","7.45e-2","1.00e+0","1.32","1.00e+0","1.00e+0","5.37e-2"
"INTERPRO","SH3_domain","4.44%","4","90","229","20827","7.50e-2","1.00e+0","4.04","1.00e+0","9.92e-1","1.74e-2"
"SMART","SH3","4.44%","4","52","208","10704","7.64e-2","8.91e-1","3.96","9.96e-1","8.91e-1","1.81e-2"
"UP_KW_DOMAIN","Repeat","34.44%","31","69","5140","14656","7.65e-2","3.01e-1","1.28","7.97e-1","3.01e-1","5.73e-2"
"INTERPRO","EGF-type_Asp/Asn_hydroxyl_site","3.33%","3","90","107","20827","7.68e-2","1.00e+0","6.49","1.00e+0","9.92e-1","1.12e-2"
"GOTERM_BP_DIRECT","cellular response to interleukin-6","2.22%","2","88","18","19512","7.73e-2","1.00e+0","24.64","1.00e+0","1.00e+0","2.94e-3"
"GOTERM_CC_DIRECT","inclusion body","2.22%","2","86","20","20808","7.86e-2","1.00e+0","24.20","1.00e+0","9.87e-1","3.06e-3"
"INTERPRO","EGF_Ca-bd_CS","3.33%","3","90","109","20827","7.93e-2","1.00e+0","6.37","1.00e+0","9.92e-1","1.18e-2"
