"Category","Term","Genes","Count","List Total","Pop Hits","Pop Total","P-Value","Benjamini","Fold Enrichment","Bonferroni","FDR","Fisher Exact"
"UP_SEQ_FEATURE","COMPBIAS:Basic and acidic residues","50.00%","46","90","6644","20669","2.31e-4","1.37e-1","1.59","1.28e-1","1.37e-1","1.42e-4"
"UP_KW_PTM","Phosphoprotein","56.52%","52","68","8489","14452","2.18e-3","2.84e-2","1.30","2.59e-2","2.84e-2","1.65e-3"
"UP_KW_DOMAIN","Coiled coil","22.83%","21","65","2756","14656","1.15e-2","1.84e-1","1.72","1.69e-1","1.84e-1","6.43e-3"
"KEGG_PATHWAY","Spinocerebellar ataxia","4.35%","4","34","144","9496","1.34e-2","8.16e-1","7.76","7.50e-1","8.16e-1","1.65e-3"
"UP_KW_CELLULAR_COMPONENT","Cytoplasm","40.22%","37","81","5979","18195","1.55e-2","4.34e-1","1.39","3.54e-1","4.34e-1","1.08e-2"
"GOTERM_CC_DIRECT","cytoplasm","46.74%","43","87","7749","20808","1.82e-2","1.00e+0","1.33","9.73e-1","1.00e+0","1.33e-2"
"INTERPRO","Prot_kinase_dom","7.61%","7","89","499","20827","1.91e-2","1.00e+0","3.28","9.99e-1","1.00e+0","5.53e-3"
"UP_SEQ_FEATURE","COMPBIAS:Polar residues","39.13%","36","90","5937","20669","2.01e-2","1.00e+0","1.39","1.00e+0","1.00e+0","1.39e-2"
"UP_SEQ_FEATURE","DOMAIN:Protein kinase","7.61%","7","90","504","20669","2.17e-2","1.00e+0","3.19","1.00e+0","1.00e+0","6.45e-3"
"KEGG_PATHWAY","Huntington disease","5.43%","5","34","311","9496","2.19e-2","8.16e-1","4.49","8.97e-1","8.16e-1","4.65e-3"
"GOTERM_CC_DIRECT","centrosome","8.70%","8","87","688","20808","2.37e-2","1.00e+0","2.78","9.91e-1","1.00e+0","8.09e-3"
"KEGG_PATHWAY","Renin secretion","3.26%","3","34","69","9496","2.38e-2","8.16e-1","12.14","9.16e-1","8.16e-1","1.87e-3"
"UP_KW_BIOLOGICAL_PROCESS","DNA repair","6.52%","6","53","368","11605","2.40e-2","8.52e-1","3.57","7.23e-1","8.52e-1","6.38e-3"
"GOTERM_MF_DIRECT","protein kinase activity","7.61%","7","83","526","19272","2.46e-2","1.00e+0","3.09","9.97e-1","1.00e+0","7.55e-3"
"INTERPRO","Ser-Thr/Tyr_kinase_cat_dom","4.35%","4","89","151","20827","2.62e-2","1.00e+0","6.20","1.00e+0","1.00e+0","4.02e-3"
"INTERPRO","Kinase-like_dom_sf","7.61%","7","89","545","20827","2.79e-2","1.00e+0","3.01","1.00e+0","1.00e+0","8.79e-3"
"GOTERM_CC_DIRECT","endoplasmic reticulum","15.22%","14","87","1760","20808","2.83e-2","1.00e+0","1.90","9.96e-1","1.00e+0","1.41e-2"
"GOTERM_BP_DIRECT","DNA damage response","7.61%","7","79","584","19512","2.93e-2","1.00e+0","2.96","1.00e+0","1.00e+0","9.38e-3"
"UP_SEQ_FEATURE","REGION:Disordered","75.00%","69","90","13779","20669","3.02e-2","1.00e+0","1.15","1.00e+0","1.00e+0","2.59e-2"
"GOTERM_MF_DIRECT","ATP binding","14.13%","13","83","1549","19272","3.04e-2","1.00e+0","1.95","9.99e-1","1.00e+0","1.48e-2"
"GOTERM_BP_DIRECT","DNA repair","6.52%","6","79","437","19512","3.07e-2","1.00e+0","3.39","1.00e+0","1.00e+0","8.57e-3"
"GOTERM_BP_DIRECT","myeloid progenitor cell differentiation","2.17%","2","79","8","19512","3.15e-2","1.00e+0","61.75","1.00e+0","1.00e+0","4.46e-4"
"GOTERM_MF_DIRECT","importin-alpha family protein binding","2.17%","2","83","9","19272","3.77e-2","1.00e+0","51.60","1.00e+0","1.00e+0","6.47e-4"
"GOTERM_MF_DIRECT","guanylate cyclase activity","2.17%","2","83","9","19272","3.77e-2","1.00e+0","51.60","1.00e+0","1.00e+0","6.47e-4"
"KEGG_PATHWAY","Amyotrophic lateral sclerosis","5.43%","5","34","371","9496","3.84e-2","9.89e-1","3.76","9.82e-1","9.89e-1","9.69e-3"
"GOTERM_MF_DIRECT","ATP hydrolysis activity","6.52%","6","83","440","19272","3.96e-2","1.00e+0","3.17","1.00e+0","1.00e+0","1.18e-2"
"UP_KW_BIOLOGICAL_PROCESS","cGMP biosynthesis","2.17%","2","53","9","11605","3.96e-2","8.52e-1","48.66","8.83e-1","8.52e-1","7.22e-4"
"UP_SEQ_FEATURE","ACT_SITE:Proton acceptor","9.78%","9","90","909","20669","4.20e-2","1.00e+0","2.27","1.00e+0","1.00e+0","1.74e-2"
"UP_KW_MOLECULAR_FUNCTION","Hydrolase","15.22%","14","50","1940","12059","4.23e-2","7.97e-1","1.74","8.06e-1","7.97e-1","2.31e-2"
"GOTERM_MF_DIRECT","hydrolase activity","15.22%","14","83","1847","19272","4.77e-2","1.00e+0","1.76","1.00e+0","1.00e+0","2.56e-2"
"UP_KW_BIOLOGICAL_PROCESS","DNA damage","6.52%","6","53","445","11605","4.82e-2","8.52e-1","2.95","9.27e-1","8.52e-1","1.54e-2"
"GOTERM_CC_DIRECT","AP-2 adaptor complex","2.17%","2","87","12","20808","4.85e-2","1.00e+0","39.86","1.00e+0","1.00e+0","1.11e-3"
"GOTERM_CC_DIRECT","nucleus","41.30%","38","87","7054","20808","4.86e-2","1.00e+0","1.29","1.00e+0","1.00e+0","3.64e-2"
"UP_KW_CELLULAR_COMPONENT","Endoplasmic reticulum","13.04%","12","81","1439","18195","4.97e-2","6.96e-1","1.87","7.60e-1","6.96e-1","2.50e-2"
"GOTERM_MF_DIRECT","mismatched DNA binding","2.17%","2","83","12","19272","4.99e-2","1.00e+0","38.70","1.00e+0","1.00e+0","1.18e-3"
"GOTERM_BP_DIRECT","positive regulation of interleukin-18 production","2.17%","2","79","13","19512","5.08e-2","1.00e+0","38.00","1.00e+0","1.00e+0","1.23e-3"
"GOTERM_BP_DIRECT","cGMP biosynthetic process","2.17%","2","79","13","19512","5.08e-2","1.00e+0","38.00","1.00e+0","1.00e+0","1.23e-3"
"GOTERM_BP_DIRECT","smoothened signaling pathway","3.26%","3","79","96","19512","5.65e-2","1.00e+0","7.72","1.00e+0","1.00e+0","6.97e-3"
"UP_SEQ_FEATURE","REPEAT:LRR 11","3.26%","3","90","93","20669","6.10e-2","1.00e+0","7.41","1.00e+0","1.00e+0","7.81e-3"
"GOTERM_BP_DIRECT","protein ubiquitination","6.52%","6","79","550","19512","6.92e-2","1.00e+0","2.69","1.00e+0","1.00e+0","2.40e-2"
"GOTERM_BP_DIRECT","cyclic nucleotide biosynthetic process","2.17%","2","79","18","19512","6.96e-2","1.00e+0","27.44","1.00e+0","1.00e+0","2.37e-3"
"GOTERM_BP_DIRECT","trophectodermal cell differentiation","2.17%","2","79","18","19512","6.96e-2","1.00e+0","27.44","1.00e+0","1.00e+0","2.37e-3"
