"Category","Term","Genes","Count","List Total","Pop Hits","Pop Total","P-Value","Benjamini","Fold Enrichment","Bonferroni","FDR","Fisher Exact"
"UP_KW_MOLECULAR_FUNCTION","Transferase","15.22%","14","50","2093","12059","7.08e-2","7.97e-1","1.61","9.39e-1","7.97e-1","4.14e-2"
"KEGG_PATHWAY","Purine metabolism","3.26%","3","34","128","9496","7.26e-2","1.00e+0","6.55","1.00e+0","1.00e+0","1.06e-2"
"UP_KW_MOLECULAR_FUNCTION","Glycosyltransferase","4.35%","4","50","239","12059","7.28e-2","7.97e-1","4.04","9.44e-1","7.97e-1","1.70e-2"
"INTERPRO","A/G_cyclase_CS","2.17%","2","89","18","20827","7.34e-2","1.00e+0","26.00","1.00e+0","1.00e+0","2.64e-3"
"GOTERM_MF_DIRECT","clathrin adaptor activity","2.17%","2","83","18","19272","7.39e-2","1.00e+0","25.80","1.00e+0","1.00e+0","2.68e-3"
"GOTERM_CC_DIRECT","cytosol","33.70%","31","87","5677","20808","7.40e-2","1.00e+0","1.31","1.00e+0","1.00e+0","5.41e-2"
"SMART","CYCc","2.17%","2","47","18","10704","7.46e-2","1.00e+0","25.30","9.93e-1","1.00e+0","2.76e-3"
"UP_SEQ_FEATURE","DOMAIN:Guanylate cyclase","2.17%","2","90","18","20669","7.48e-2","1.00e+0","25.52","1.00e+0","1.00e+0","2.74e-3"
"INTERPRO","Nucleotide_cyclase","2.17%","2","89","19","20827","7.73e-2","1.00e+0","24.63","1.00e+0","1.00e+0","2.95e-3"
"INTERPRO","A/G_cyclase","2.17%","2","89","19","20827","7.73e-2","1.00e+0","24.63","1.00e+0","1.00e+0","2.95e-3"
"GOTERM_CC_DIRECT","nuclear body","5.43%","5","87","389","20808","7.77e-2","1.00e+0","3.07","1.00e+0","1.00e+0","2.36e-2"
"GOTERM_MF_DIRECT","phosphorus-oxygen lyase activity","2.17%","2","83","19","19272","7.79e-2","1.00e+0","24.44","1.00e+0","1.00e+0","2.99e-3"
"INTERPRO","Helicase_C-like","3.26%","3","89","110","20827","7.90e-2","1.00e+0","6.38","1.00e+0","1.00e+0","1.17e-2"
"UP_SEQ_FEATURE","REPEAT:LRR 10","3.26%","3","90","109","20669","8.03e-2","1.00e+0","6.32","1.00e+0","1.00e+0","1.20e-2"
"GOTERM_BP_DIRECT","negative regulation of lipid catabolic process","2.17%","2","79","21","19512","8.07e-2","1.00e+0","23.52","1.00e+0","1.00e+0","3.23e-3"
"SMART","HELICc","3.26%","3","47","110","10704","8.09e-2","1.00e+0","6.21","9.95e-1","1.00e+0","1.23e-2"
"INTERPRO","Helicase_ATP-bd","3.26%","3","89","113","20827","8.27e-2","1.00e+0","6.21","1.00e+0","1.00e+0","1.26e-2"
"UP_SEQ_FEATURE","DOMAIN:GRAM","2.17%","2","90","20","20669","8.27e-2","1.00e+0","22.97","1.00e+0","1.00e+0","3.39e-3"
"UP_SEQ_FEATURE","DOMAIN:Helicase C-terminal","3.26%","3","90","111","20669","8.28e-2","1.00e+0","6.21","1.00e+0","1.00e+0","1.26e-2"
"SMART","DEXDc","3.26%","3","47","112","10704","8.34e-2","1.00e+0","6.10","9.96e-1","1.00e+0","1.29e-2"
"UP_KW_MOLECULAR_FUNCTION","Kinase","7.61%","7","50","755","12059","8.39e-2","7.97e-1","2.24","9.64e-1","7.97e-1","3.50e-2"
"KEGG_PATHWAY","Pathways of neurodegeneration - multiple diseases","5.43%","5","34","483","9496","8.45e-2","1.00e+0","2.89","1.00e+0","1.00e+0","2.74e-2"
"GOTERM_MF_DIRECT","glycosyltransferase activity","4.35%","4","83","243","19272","8.51e-2","1.00e+0","3.82","1.00e+0","1.00e+0","2.09e-2"
"GOTERM_BP_DIRECT","protein phosphorylation","4.35%","4","79","261","19512","8.68e-2","1.00e+0","3.79","1.00e+0","1.00e+0","2.15e-2"
"GOTERM_MF_DIRECT","nucleotide binding","14.13%","13","83","1839","19272","8.85e-2","1.00e+0","1.64","1.00e+0","1.00e+0","5.04e-2"
"GOTERM_MF_DIRECT","kinase activity","7.61%","7","83","729","19272","9.01e-2","1.00e+0","2.23","1.00e+0","1.00e+0","3.76e-2"
"UP_SEQ_FEATURE","DOMAIN:Helicase ATP-binding","3.26%","3","90","120","20669","9.46e-2","1.00e+0","5.74","1.00e+0","1.00e+0","1.55e-2"

